date,SP500
,SPY
2003-01-02,64.1432798172
2003-01-03,64.3404906447
2003-01-06,65.4744617071
2003-01-07,65.312468759
2003-01-08,64.3686645257
2003-01-09,65.3688115905
2003-01-10,65.5448939443
2003-01-13,65.5237647661
2003-01-14,65.7350657036
2003-01-15,65.0800393477
2003-01-16,64.8123906484
2003-01-17,63.8545075744
2003-01-21,62.8614002821
2003-01-22,62.1007231053
2003-01-23,62.4810616937
2003-01-24,60.8399727482
2003-01-27,60.0088640386
2003-01-28,60.4525950917
2003-01-29,60.9104099157
2003-01-30,59.4665325021
2003-01-31,60.6145880398
2003-02-03,60.734327562
2003-02-04,60.1356433333
2003-02-05,59.7623494477
2003-02-06,59.4806169774
2003-02-07,58.7551583844
2003-02-10,59.1707155565
2003-02-11,58.7622030872
2003-02-12,57.8254435567
2003-02-13,58.0015259104
2003-02-14,59.2693216746
2003-02-18,60.311725687
2003-02-19,59.9947795633
2003-02-20,59.3961009693
2003-02-21,59.9947795633
2003-02-24,59.0228070837
2003-02-25,59.494706383
2003-02-26,58.6283790897
2003-02-27,59.4031400375
2003-02-28,59.7975687358
2003-03-03,59.2270576837
2003-03-04,58.283259085
2003-03-05,58.7762875625
2003-03-06,58.283259085
2003-03-07,58.6847268515
2003-03-10,57.2760680217
2003-03-11,56.7126023768
2003-03-12,57.0929409652
2003-03-13,59.0650654399
2003-03-14,59.2552315647
2003-03-17,61.1217059229
2003-03-18,61.4809153331
2003-03-19,61.9528146325
2003-03-20,62.0866393343
2003-03-21,63.4068174857
2003-03-24,61.2996237008
2003-03-25,61.88652392
2003-03-26,61.5753977542
2003-03-27,61.6248956613
2003-03-28,61.3137638386
2003-03-31,59.9207506052
2003-04-01,60.8399995713
2003-04-02,62.3107959371
2003-04-03,62.0138042523
2003-04-04,62.3815058187
2003-04-07,62.2612980301
2003-04-08,62.3602931371
2003-04-09,61.540039985
2003-04-10,61.879456326
2003-04-11,61.6248956613
2003-04-14,62.8976954492
2003-04-15,63.4846006182
2003-04-16,62.4027185003
2003-04-17,63.3290350604
2003-04-21,63.392678055
2003-04-22,64.5876947105
2003-04-23,65.1816724233
2003-04-24,64.6018405053
2003-04-25,63.8028042775
2003-04-28,64.905899077
2003-04-29,65.1321752234
2003-04-30,64.9907547532
2003-05-01,64.9836822094
2003-05-02,65.9099980624
2003-05-05,65.7827177301
2003-05-06,66.4049806682
2003-05-07,66.0372783948
2003-05-08,65.3725908005
2003-05-09,66.2776996288
2003-05-12,67.0908752872
2003-05-13,66.9706674987
2003-05-14,66.8292470285
2003-05-15,67.2535140959
2003-05-16,67.0838084003
2003-05-19,65.5140169276
2003-05-20,65.3796633443
2003-05-21,65.5140169276
2003-05-22,66.1645594342
2003-05-23,66.2989123104
2003-05-27,67.4585775607
2003-05-28,67.6494952308
2003-05-29,67.4727169914
2003-05-30,68.5545991093
2003-06-02,68.8374449994
2003-06-03,69.1202915966
2003-06-04,70.1173236952
2003-06-05,70.4638076301
2003-06-06,70.1880335767
2003-06-09,69.4738480754
2003-06-10,70.1809610329
2003-06-11,70.9234317596
2003-06-12,71.1426353622
2003-06-13,70.4001646355
2003-06-16,71.885106089
2003-06-17,71.885106089
2003-06-18,71.8214630943
2003-06-19,70.7254358888
2003-06-20,70.570051352
2003-06-23,69.8461803422
2003-06-24,69.9171471003
2003-06-25,69.2145705889
2003-06-26,70.1158602681
2003-06-27,69.3068318454
2003-06-30,69.2855366373
2003-07-01,69.9242452664
2003-07-02,70.8042404472
2003-07-03,70.073276239
2003-07-07,71.4642378973
2003-07-08,71.7835950506
2003-07-09,71.3790804844
2003-07-10,70.4706976068
2003-07-11,71.1377882553
2003-07-14,71.4855323957
2003-07-15,71.3294032569
2003-07-16,70.9106923585
2003-07-17,69.9029557358
2003-07-18,70.6197285794
