date,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-01-02,0.0,0.0,0.0,47.3,0.0,0.0,0.0,15.2902826546,0.0,0.0
2003-01-03,0.0,0.0,0.0,48.0,0.0,0.0,0.0,14.3460542721,0.0,0.0
2003-01-06,0.0,0.0,0.0,51.0,0.0,0.0,0.0,14.2799971425,0.0,0.0
2003-01-07,0.0,0.0,0.0,51.5,0.0,0.0,0.0,14.3577114126,0.0,0.0
2003-01-08,0.0,0.0,0.0,50.5,0.0,0.0,0.0,14.4431971098,0.0,0.0
2003-01-09,0.0,0.0,0.0,51.9,0.0,0.0,0.0,14.9289112983,0.0,0.0
2003-01-10,0.0,0.0,0.0,50.1,0.0,0.0,0.0,14.9405684389,0.0,0.0
2003-01-13,0.0,0.0,0.0,48.0,0.0,0.0,0.0,14.7851398985,0.0,0.0
2003-01-14,0.0,0.0,0.0,48.95,0.0,0.0,0.0,14.6607970663,0.0,0.0
2003-01-15,0.0,0.0,0.0,47.8,0.0,0.0,0.0,14.7754256148,0.0,0.0
2003-01-16,0.0,0.0,0.0,45.8,0.0,0.0,0.0,14.7054367566,0.0,0.0
2003-01-17,0.0,0.0,0.0,44.4,0.0,0.0,0.0,14.2699505279,0.0,0.0
2003-01-21,0.0,0.0,0.0,42.0,0.0,0.0,0.0,13.8616821886,0.0,0.0
2003-01-22,0.0,0.0,0.0,41.6,0.0,0.0,0.0,13.6672686936,0.0,0.0
2003-01-23,0.0,0.0,0.0,44.1,0.0,0.0,0.0,13.6089446452,0.0,0.0
2003-01-24,0.0,0.0,0.0,42.7,0.0,0.0,0.0,13.2667768941,0.0,0.0
2003-01-27,0.0,0.0,0.0,40.5,0.0,0.0,0.0,13.3756484513,0.0,0.0
2003-01-28,0.0,0.0,0.0,53.9,0.0,0.0,0.0,13.4534138492,0.0,0.0
2003-01-29,0.0,0.0,0.0,53.9,0.0,0.0,0.0,13.4534138492,0.0,0.0
2003-01-30,0.0,0.0,0.0,52.1,0.0,0.0,0.0,13.2201176553,0.0,0.0
2003-01-31,0.0,0.0,0.0,51.3,0.0,0.0,0.0,13.2901065135,0.0,0.0
2003-02-03,0.0,0.0,0.0,50.3,0.0,0.0,0.0,13.7255927421,0.0,0.0
2003-02-04,0.0,0.0,0.0,47.2,0.0,0.0,0.0,13.5272909773,0.0,0.0
