date,SPY,GOOGL,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK-B,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO,AMAT,POWI,TDOC,TTD,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,SP500,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Video,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health,Applied Materials,Power Integrations,Teladoc,Trade Desk,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-01-02,44516300,0,3239800,6484000,33512600,7656300,6774300,131600,57135100,7864500,17474800,61335700,3107500,939600,7302900,10540300,0,16739100,6292000,15400,6483400,3304400,12884400,7545500,4679400,3522600,653000,8308500,3271200,5824500,2517100,0,0,12798800,2182700,21813600,1131100,0,0,2647900,0,0,1438600,0,0,2917500,0,0,0,0,0,0,0,0,20200,0,0,0,0,6276000,13836700,18498000,2269700,10854500,1141700,0,6993700,0,11747100,4478100,0,0,0,0,0,41100,0,0,5124100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307500,0,0,0,0,0,25101200,316000,0,0,0,0,0,158000,0,0,0,5182200,0,0
2003-01-03,32222600,0,2633100,8757000,27773400,5098100,5766300,107000,50271500,5962300,6235700,50891700,2888000,1448700,6065900,4638100,0,12525700,3901700,14900,8743800,2759500,65004600,8389300,3092200,3153400,419900,5714800,3934000,5171600,2079500,0,0,9221900,2479000,15025700,473200,0,0,2461100,0,0,1321900,0,0,2514400,0,0,0,0,0,0,0,0,25900,0,0,0,0,3894000,11596200,13656000,1699900,8645800,1134000,0,10169700,0,5939300,5454400,0,0,0,0,0,79300,0,0,3368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196100,0,0,0,0,0,30318200,336000,0,0,0,0,0,94000,0,0,0,15678800,0,0
2003-01-06,40984500,0,6973800,7698100,29728100,13158900,7918000,110600,57114300,7921300,6833200,58936700,3080200,1392600,17354500,7955100,0,22932400,6250300,23200,5920900,2695800,23925400,7438400,3898000,4139400,542800,7310900,2904500,4630400,2345400,0,0,11925100,3880600,18845000,569300,0,0,3276600,0,0,1750100,0,0,2967600,0,0,0,0,0,0,0,0,14200,0,0,0,0,5216000,13712900,15197000,1177200,8611900,1066500,0,10934200,0,5749000,4816800,0,0,0,0,0,74200,0,0,4391800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,0,0,0,0,0,35878200,237000,0,0,0,0,0,182000,0,0,0,7920200,0,0
2003-01-07,38640400,0,6113300,9568200,40258700,7094300,7438500,240500,63853500,11906900,9785100,83998600,3816300,1474200,12617700,6153000,0,17837500,4902400,14600,6527800,3319800,19715600,6669000,3814000,4796800,245700,4952400,3454400,6386400,2136100,0,0,14600300,4201700,21805700,574700,0,0,2820900,0,0,3504000,0,0,2889500,0,0,0,0,0,0,0,0,19000,0,0,0,0,5384000,13766700,13093000,1563000,12485600,841700,0,19573900,0,8443000,4182100,0,0,0,0,0,63400,0,0,5185100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203200,0,0,0,0,0,36872700,342400,0,0,0,0,0,113000,0,0,0,7135000,0,0
2003-01-08,38702200,0,4100800,6981500,32283000,7564400,5619600,100300,55719700,9508800,13952300,75927000,2701600,1096900,11568800,6417400,0,15857300,4243800,12200,5548400,5270300,19973300,7796900,3201800,4514600,244400,5686000,3038800,4754800,1420600,0,0,12677600,3048200,21583800,975600,0,0,2799200,0,0,1458300,0,0,3497000,0,0,0,0,0,0,0,0,35400,0,0,0,0,3454000,17646500,12040000,1623300,15437700,967000,0,12284800,0,9870400,5627700,0,0,0,0,0,39400,0,0,6148400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504300,0,0,0,0,0,28357100,812500,0,0,0,0,0,80000,0,0,0,5524700,0,0
2003-01-09,34804900,0,3843800,6154800,30904000,7221600,5987800,176500,58692700,10711600,9901000,75284400,2901900,1190200,7695100,7357400,0,11205600,4327700,8600,5949800,4569400,21948100,9884800,4515100,3762800,667900,8273300,2708700,7071600,1762700,0,0,11459700,2604200,19371400,922400,0,0,2330500,0,0,1211800,0,0,2723100,0,0,0,0,0,0,0,0,23700,0,0,0,0,4328000,17893600,15235000,1458300,11967300,1441900,0,11335400,0,9470600,6948300,0,0,0,0,0,25800,0,0,8319500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403600,0,0,0,0,0,39248800,573800,0,0,0,0,0,120000,0,0,0,7493200,0,0
2003-01-10,37768900,0,3126800,7579300,33865100,5704300,12428900,85200,54995200,9955400,15492500,91193900,3389500,1313200,6187300,6772200,0,8725900,5156300,9500,5190500,3287200,16412600,7426600,5285100,2911000,667600,7726900,3176900,4870400,1691300,0,0,11082500,2805500,18590600,2935100,0,0,2414200,0,0,1289300,0,0,3655200,0,0,0,0,0,0,0,0,170000,0,0,0,0,4644000,14540300,20878000,1417400,7704100,2092400,0,12190600,0,8893900,3610100,0,0,0,0,0,75200,0,0,5017300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283000,0,0,0,0,0,38301900,319200,0,0,0,0,0,130000,0,0,0,3645200,0,0
2003-01-13,31649900,0,3195400,7121300,30408900,5753100,8989400,58000,66865000,10499000,8910500,66314800,2688200,1041200,7159500,5745000,0,9290600,4600100,9400,7579200,3306100,17696200,6920800,4991400,2955300,548800,5546100,2601600,4252800,1975000,0,0,10181400,3318100,19551600,2894700,0,0,2049300,0,0,1351000,0,0,3356500,0,0,0,0,0,0,0,0,33600,0,0,0,0,5090000,15319800,14983000,1358100,7076000,1127400,0,11556800,0,6193900,3729100,0,0,0,0,0,13600,0,0,4262200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354300,0,0,0,0,0,39487600,676500,0,0,0,0,0,145000,0,0,0,3400700,0,0
2003-01-14,30733000,0,3336800,7048800,27103200,4490800,6153500,57400,80562500,7569100,7821600,69977900,2410400,691300,8935500,5471800,0,8216900,4990900,11900,4987800,2737900,14524700,6759600,5218400,2891700,339300,7430300,2978900,3777800,1773300,0,0,9594700,2579400,18353200,2908300,0,0,2095000,0,0,966200,0,0,1967300,0,0,0,0,0,0,0,0,24500,0,0,0,0,4736000,14552000,14284000,2320300,7237700,1218500,0,12933100,0,4941400,2861900,0,0,0,0,0,13400,0,0,3858600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499100,0,0,0,0,0,38327700,524000,0,0,0,0,0,98000,0,0,0,4212000,0,0
