date,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,SP500,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Technology,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health
,GOOG,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK.A,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,SPY,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZOOM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO
01/03/2003,,1.06,20.52,26.9,7.36,6.78,1.5,16.54,81.65,6.94,13.91,13.15,7.1,28.88,17.36,,25.94,35.12,72000,56.81,43.43,21.38,50,22.37,43.4,21.23,16.12,5.28,58.99,21.65,,,35.5,34.17,25.4,13.63,,,4.44,,,24.54,,,43.22,,,,,,,,,17.16,,,,,1007.26,31.78,361.1,23.72,,5.64,,22.94,,10.16,30.15,,,,,,39.03,,91.35,,28.25,,,,,,,,,,,,,,,,,,,,18.56,,,,,
01/10/2003,,1.05,21.32,27.96,7.72,7.28,1.84,17.42,87.68,7.41,15.22,14.33,7.46,28.8,18.15,,27.09,35.9,70500,57.2,43.07,21.58,51.62,22.6,42.86,21.21,17.24,5.22,59.81,20.86,,,35.24,34.31,25.65,14.7,,,4.63,,,26.05,,,43.71,,,,,,,,,17.36,,,,,1035.58,30.8,374.6,23.71,,5.94,,25.75,,10.29,31.2,,,,,,38.35,,93.06,,30.58,,,,,,,,,,,,,,,,,,,,19.29,,,,,
01/17/2003,,1.01,21.4,25.73,7.88,6.9,1.47,16.34,81.3,6.03,14.13,12.93,7.55,27.28,17.8,,26.19,35.74,69200,54.79,43.52,22.43,49.97,22.55,43.65,20.41,15.45,5.02,58.34,21.09,,,34.72,34.06,24.88,17.18,,,4.54,,,24.97,,,43.81,,,,,,,,,18.04,,,,,1037.42,30.04,368,23.53,,5.63,,22.59,,9.16,29.67,,,,,,37.17,,90.66,,30.07,,,,,,,,,,,,,,,,,,,,21.27,,,,,
01/24/2003,,0.99,22.11,24.93,7.92,7.04,1.34,15.85,78.99,5.43,13.86,12.94,7.53,24.54,17.1,,23.81,34.81,68500,53.61,42.11,21.26,47.3,21.42,41.06,19.5,14.9,5.74,53.55,21.2,,,32.69,31.77,23.06,15.52,,,4.37,,,23.72,,,42.01,,,,,,,,,17.84,,,,,938.91,30.25,357.9,21.96,,5.43,,20.86,,8.23,27.7,,,,,,36.88,,86.38,,28.9,,,,,,,,,,,,,,,,,,,,20.63,,,,,
01/31/2003,,1.03,21.85,23.73,7.91,6.09,1.28,15.7,78.2,5.24,13.37,13.21,7.47,24.44,17.5,,23.34,35.03,67600,53.61,42.79,20.9,47.8,20.23,40.48,19.58,14.24,5.68,55.39,21.98,,,34.15,32.2,23.14,14.35,,,4.36,,,23.25,,,41.38,,,,,,,,,16.56,,,,,906.74,30.36,343.8,21.99,,5.57,,19.79,,8.21,28.21,,,,,,37.23,,86.06,,28.87,,,,,,,,,,,,,,,,,,,,18.73,,,,,
02/07/2003,,1.01,21.44,23.29,7.61,6.08,1.27,15.05,77.1,5.04,12.85,13.07,7,25.18,16.35,,21.98,33.97,64200,51.84,41.99,21.31,46.79,19.77,39.01,18.61,13.55,5.5,53.56,21.16,,,33.35,31.86,22.7,12.15,,,4.23,,,22.96,,,40.2,,,,,,,,,16.56,,,,,782.42,29.3,329.1,21.32,,5.3,,18.7,,7.61,26.8,,,,,,37.05,,83.42,,28.52,,,,,,,,,,,,,,,,,,,,17.89,,,,,
02/14/2003,,1.05,20.06,24.15,7.89,6.23,1.18,16.15,77.45,5.1,13.68,13.72,7,23.35,16.73,,21.85,34.44,61200,51.75,41.85,21.35,49.15,20.4,39.86,19.39,13.62,5.63,53.91,20,,,33.44,31.87,22.48,12.38,,,4.13,,,23.11,,,39.42,,,,,,,,,16.4,,,,,827.49,28.56,325.4,21.63,,5.64,,20.92,,7.2,27.69,,,,,,36.61,,84.15,,28.92,,,,,,,,,,,,,,,,,,,,17.25,,,,,
02/21/2003,,1.07,21.78,24.61,8.24,6.79,1.4,16.78,79.95,5.39,14.67,14.56,7.2,20.73,17.02,,22.88,35.18,63100,53.48,42.12,22.41,48.9,20.32,39.4,19.64,13.58,5.83,53.81,20.55,,,34.18,32.03,23.8,12.37,,,4.2,,,23.12,,,40.1,,,,,,,,,17,,,,,851.28,28.94,332,23.27,,5.8,,23.04,,7.52,28.48,,,,,,37.79,,85.18,,30,,,,,,,,,,,,,,,,,,,,17.5,,,,,
02/28/2003,,1.07,22.01,23.7,8.25,6.45,1.41,17.26,77.95,5.49,13.98,13.75,7.25,20.8,17.06,,22.68,34.62,61700,52.45,40.93,23.45,48.06,20.11,38.32,19.53,13.61,5.86,52.75,20.73,,,34.02,32.09,24.05,11.62,,,4.25,,,23.97,,,38.88,,,,,,,,,16.4,,,,,825.81,29.82,333.4,23.5,,5.8,,22.9,,7.99,28.65,,,,,,37.95,,84.9,,30.52,,,,,,,,,,,,,,,,,,,,18.34,,,,,
03/07/2003,,1.04,22.97,23.56,8.41,6.33,1.36,16.01,77.9,5.25,13.24,13.51,7.05,20.49,15.72,,22.29,34.49,64800,55.3,40.48,22.52,48.12,18.85,38.5,19.22,12.82,5.73,52.36,21.35,,,34.79,32.63,24.3,11.35,,,4.6,,,23.06,,,37.05,,,,,,,,,16.04,,,,,802.19,29.98,331.6,22.9,,6.14,,22.73,,7.6,26.75,,,,,,37.25,,83.32,,29.15,,,,,,,,,,,,,,,,,,,,17.75,,,,,
03/14/2003,,1.06,24.71,24.86,8.83,7,1.26,17.17,79,5.77,13.4,15.4,7.34,20.85,16.42,,21.26,33.66,68100,55.19,41.7,22.99,49.36,19.95,39,19.12,13.54,6.07,50.8,20.91,,,34.39,32.1,25.65,10.09,,,4.91,,,24.64,,,38.83,,,,,,,,,15.72,,,,,820.29,28.95,337.5,23.51,,6.22,,25.38,,7.85,27.28,,,,,,36.89,,84.13,,29.59,,,,,,,,,,,,,,,,,,,,19.83,,,,,
03/21/2003,,1.07,27.93,26.57,9.45,7.72,1.43,18.9,84.9,7.15,13.9,16.04,7.78,21.64,18.74,,24.65,35.25,68700,58.67,44.45,25.78,54.67,21.13,41.5,20.87,14.65,6.59,56.5,22.48,,,36,33,28,11.11,,,5.19,,,26.92,,,42.75,,,,,,,,,17.32,,,,,912.77,31.96,372,26.28,,6.66,,26.73,,8.88,30.73,,,,,,39.2,,89.67,,31.23,,,,,,,,,,,,,,,,,,,,20.46,,,,,
