date,SP500,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Video,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health
,SPY,GOOGL,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK-B,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO
2003-01-02,64.4041325757,0,0.9150918177,19.57,17.223830837,7.228367757,4.0443103232,1.44,10.7153522607,53.5942631081,7.01,10.4673973004,12.760852055,7.2286160204,10.5007506469,13.8140235725,0,15.7779244269,22.2268233311,47.88,34.2249081159,27.1033414154,16.7989960286,36.0751729888,13.4814092986,27.3363218911,11.21760543,10.2730438088,4.4737795964,28.8974510742,18.1976852072,0,0,21.3404358365,18.0427536256,14.3742217247,11.513584711,0,0,3.7481309014,0,0,18.6812086877,0,0,0,0,0,0,0,0,0,0,0,4.6341385078,0,0,0,0,828.6194064128,16.3208288777,259.3745001086,15.1488935952,3.7752602566,4.583875781,0,15.6978304325,0,10,21.6890200168,0,0,0,0,0,18.6658901069,0,0,21.0930651953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0,0
2003-01-03,64.6021468189,0,0.9212748705,20.52,17.2462743992,7.2888213013,4.1387516357,1.5,10.619048915,54.3126670321,6.94,10.6745965139,13.1097816034,7.025620639,10.4898539841,13.8940584715,0,16.0880251429,22.0884560098,48.06,35.1403764696,26.8070288342,14.4357932111,34.9565629737,13.4483445267,27.5265979135,11.1157858787,10.0061308881,4.4568974093,29.2645603239,18.3824009479,0,0,21.3584852606,18.1810938185,14.3290907303,11.4967149898,0,0,3.8147356924,0,0,18.3595058549,0,0,0,0,0,0,0,0,0,0,0,4.5285772661,0,0,0,0,826.1459156474,16.4502360207,257.6619862151,15.047372214,3.7752602566,4.4894141326,0,16.3462655524,0,10.16,21.0197349247,0,0,0,0,0,18.9025339918,0,0,20.5404719671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56,0,0,0,0,0
2003-01-06,65.7407287168,0,0.9212748705,20.7,17.5604842692,7.6088081652,4.2498590622,1.57,11.0299431898,55.60313334,7.16,10.8971438172,13.7129312513,7.2286160204,11.328897014,14.6063690729,0,17.3532360639,22.4060719063,47.24,35.4743987068,27.1126011836,14.7328815653,35.089397913,13.5024505172,27.2475264139,11.1652410893,10.3351165811,4.5307569781,29.7060836107,17.9195500116,0,0,21.8879350361,18.5961143974,14.69578006,11.6822819229,0,0,3.9210885039,0,0,19.0926890552,0,0,0,0,0,0,0,0,0,0,0,4.6341385078,0,0,0,0,853.9039786815,16.5641143065,266.2245556823,15.3551089007,4.0819426495,4.5520571205,0,17.2726014382,0,10.56,21.0894521218,0,0,0,0,0,19.0522474701,0,0,20.7876847271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0
2003-01-07,65.57807416,0,0.9181833441,21.55,17.8907252551,7.5639891582,4.2665251762,1.725,11.1455072046,57.2062383926,7.17,11.2041056148,14.2176329195,7.5405357528,10.9983649113,14.4462992749,0,17.2664078634,22.4406637366,47,34.6764566958,26.6959116162,14.4898092755,35.278163353,13.334120769,26.7528087556,10.987784157,10.3475311355,4.48222069,29.3240915535,17.7879135067,0,0,21.1479086454,18.2103580901,14.6111594455,11.6738470623,0,0,3.9060487124,0,0,18.7410603775,0,0,0,0,0,0,0,0,0,0,0,4.4969088936,0,0,0,0,837.2766240918,16.3725917349,263.8698490788,15.1806190268,4.0696753537,4.5401251228,0,18.1348063779,0,11,20.8803005305,0,0,0,0,0,18.8349214533,0,0,21.1221490494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,0,0,0,0,0
2003-01-08,64.6304345679,0,0.8996341856,21.02,17.3905544416,7.4899856816,4.0831979225,1.725,10.7089320376,56.0022466311,6.69,11.0813208958,13.5294416382,7.461318043,10.5516017396,14.1501701484,0,16.6027923313,22.3494670931,47.32,34.4723319953,26.2977415852,14.287249034,34.9495716611,13.2469500065,27.0826205278,11.0459667577,10.4530548484,4.3872583873,29.2595993881,17.9407817059,0,0,21.0576615246,18.1039425571,14.3855044733,10.9484490512,0,0,3.7341653807,0,0,18.8308379123,0,0,0,0,0,0,0,0,0,0,0,4.5602456386,0,0,0,0,826.8329964156,15.9947228772,261.8005614576,14.7206002684,3.6648545951,4.5759211159,0,17.6075074891,0,10.05,20.9988197656,0,0,0,0,0,18.549982898,0,0,21.3039231376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,0,0,0,0
2003-01-09,65.634649658,0,0.9076721543,21.45,17.8939314783,7.6630078946,4.3054127754,1.95,10.9529005133,57.8714272111,6.91,11.4726971878,14.0829867992,7.5652912871,10.6579243422,14.4703097446,0,16.9314990902,22.6419252948,47.16,35.1651188575,26.4767637697,14.4965612835,36.2988949918,13.3852208711,27.3616920274,11.0983310984,10.47167668,4.3893686607,29.6564742526,17.9407817059,0,0,21.502880654,18.388604108,14.6111594455,11.555759014,0,0,3.8491123587,0,0,19.2273553574,0,0,0,0,0,0,0,0,0,0,0,4.5496895144,0,0,0,0,857.476798676,16.1189537345,264.2266228066,15.0188193256,3.7292578976,4.6932524266,0,18.1490576993,0,9.95,21.9051433278,0,0,0,0,0,18.6272543706,0,0,22.2127935786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,0,0,0,0,0
2003-01-10,65.8114480894,0,0.9101453754,21.32,17.9291999331,7.6463310548,4.4442970585,1.84,11.1840285429,58.3237556077,7.41,11.6798964012,14.2874494263,7.3821003332,10.5589343329,14.5263341739,0,16.8012567895,22.5790310579,46.82,35.381614752,26.5847943982,14.5708333721,36.089155614,13.5866153913,27.1841010731,11.1070584886,10.7013459374,4.4083611212,29.67135706,17.7178489154,0,0,21.2020569179,18.2529243033,14.4701250879,12.3992450734,0,0,3.9769505867,0,0,19.4892065004,0,0,0,0,0,0,0,0,0,0,0,4.5813578869,0,0,0,0,849.3692456116,15.94296002,267.2948768657,15.0441996709,3.7936612001,4.7260654202,0,18.3485761977,0,10.29,21.7517654942,0,0,0,0,0,18.5210060957,0,0,22.2346064692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0
2003-01-13,65.7902322776,0,0.9045806279,22.04,18.0798924218,7.7099115066,4.6109581982,1.744,11.1583476507,58.2106735086,7.45,11.7259406709,14.2375804928,7.317735944,10.5442691463,14.6463865224,0,16.9190950616,22.761424345,46.67,34.6640855018,26.6033139346,14.827409678,35.8514509858,13.7549451395,27.4251173682,11.0721489281,10.7572114324,4.3577145597,29.6663961242,17.5479953608,0,0,21.1178262718,18.1385276053,14.4644837136,12.947511012,0,0,4.0489267318,0,0,19.3096514309,0,0,0,0,0,0,0,0,0,0,0,4.7713681219,0,0,0,0,863.2482771286,15.9947228772,264.2979775522,15.1330308794,3.7629929609,4.6833090951,0,17.8640312729,0,10.09,21.4171229482,0,0,0,0,0,18.4026841533,0,0,22.190980688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0
2003-01-14,66.0023903952,0,0.9033440173,22.74,18.2658533653,7.7317998589,4.5942920842,1.72,11.4215767955,58.9224255444,7.43,11.9561620191,14.51684652,7.3721981195,10.855904361,14.7824458508,0,17.1113575055,22.7928714635,46.52,34.8620246053,26.6557859542,14.8881777504,35.9423380495,13.7459274744,27.5583105839,11.0779671882,10.5275421751,4.2775241708,29.67135706,17.4630685835,0,0,21.3103534629,18.2236600318,14.5039733337,13.9428245621,0,0,4.0693378775,0,0,19.3545401982,0,0,0,0,0,0,0,0,0,0,0,4.8347048669,0,0,0,0,872.5925755757,16.0568383059,270.6485499069,15.0346820414,3.7905943762,4.6415471032,0,18.4839637502,0,10.2,21.4031795087,0,0,0,0,0,18.3543894829,0,0,22.5327159738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0
