              result  rank_value    feat01    feat02    feat03    feat04    feat05    feat06    feat07    feat08    feat09    feat10    feat11    feat12  log_result
result      1.000000    0.039793  0.032444  0.047171  0.035203  0.034615  0.015707  0.017732  0.054658  0.051880  0.055720  0.064999  0.061823  0.053943    0.980118
rank_value  0.039793    1.000000  0.875110  0.880065  0.859085  0.696844  0.357641  0.235627 -0.343416 -0.341570 -0.324555 -0.269218 -0.151274 -0.108771    0.039414
feat01      0.032444    0.875110  1.000000  0.873001  0.738568  0.479710  0.242378  0.178259 -0.228664 -0.206974 -0.168180 -0.115454 -0.055598 -0.036374    0.033398
feat02      0.047171    0.880065  0.873001  1.000000  0.820081  0.567035  0.303953  0.217344 -0.297773 -0.285290 -0.234166 -0.166125 -0.086808 -0.060748    0.046290
feat03      0.035203    0.859085  0.738568  0.820081  1.000000  0.670577  0.378662  0.263128 -0.347869 -0.360926 -0.351079 -0.253672 -0.143020 -0.106594    0.035314
feat04      0.034615    0.696844  0.479710  0.567035  0.670577  1.000000  0.546037  0.377608 -0.320928 -0.342045 -0.388632 -0.396012 -0.234747 -0.178528    0.035702
feat05      0.015707    0.357641  0.242378  0.303953  0.378662  0.546037  1.000000  0.696380 -0.240512 -0.262412 -0.312742 -0.393493 -0.463318 -0.349484    0.018923
feat06      0.017732    0.235627  0.178259  0.217344  0.263128  0.377608  0.696380  1.000000 -0.185733 -0.204553 -0.246286 -0.325224 -0.470761 -0.518925    0.017264
feat07      0.054658   -0.343416 -0.228664 -0.297773 -0.347869 -0.320928 -0.240512 -0.185733  1.000000  0.978771  0.910701  0.796654  0.622590  0.517436    0.030158
feat08      0.051880   -0.341570 -0.206974 -0.285290 -0.360926 -0.342045 -0.262412 -0.204553  0.978771  1.000000  0.945216  0.827256  0.644419  0.536014    0.029687
feat09      0.055720   -0.324555 -0.168180 -0.234166 -0.351079 -0.388632 -0.312742 -0.246286  0.910701  0.945216  1.000000  0.899418  0.702493  0.584462    0.033272
feat10      0.064999   -0.269218 -0.115454 -0.166125 -0.253672 -0.396012 -0.393493 -0.325224  0.796654  0.827256  0.899418  1.000000  0.805537  0.672853    0.043556
feat11      0.061823   -0.151274 -0.055598 -0.086808 -0.143020 -0.234747 -0.463318 -0.470761  0.622590  0.644419  0.702493  0.805537  1.000000  0.872039    0.042399
feat12      0.053943   -0.108771 -0.036374 -0.060748 -0.106594 -0.178528 -0.349484 -0.518925  0.517436  0.536014  0.584462  0.672853  0.872039  1.000000    0.039229
log_result  0.980118    0.039414  0.033398  0.046290  0.035314  0.035702  0.018923  0.017264  0.030158  0.029687  0.033272  0.043556  0.042399  0.039229    1.000000
